Total production of crude steel,,,,,,,,,,,,
,,,,,,,,,,,,
Country,2020,2021,2022,2023,2024,,,,,,,
Albania,0.0,0.0,0.0,0.0,0.0,,,,,,,
Algeria,"3,000.0","3,491.3","4,300.0","4,421.0","4,520.0",,,,,,,
Angola,250.0,275.0,270.0,190.0,285.0,,,,,,,
Argentina,"3,651.1","4,875.1","5,093.9","4,928.4","3,862.6",,,,,,,
Armenia,0.0,0.0,0.0,0.0,0.0,,,,,,,
Australia,"5,490.5","5,779.6","5,621.3","5,459.2","4,810.6",,,,,,,
Austria,"6,765.1","7,884.0","7,512.2","7,133.1","7,129.9",,,,,,,
Azerbaijan,200.0,285.7,359.0,349.1,350.0,,,,,,,
Bahrain,900.0,"1,167.3","1,170.3","1,265.6","1,205.0",,,,,,,
Bangladesh,"4,700.0","5,500.0","6,000.0","5,000.0","4,500.0",,,,,,,
Belarus,"2,482.0","2,481.4","2,021.5","2,284.0","2,330.0",,,,,,,
Belgium,"6,119.2","6,909.3","7,030.4","5,863.6","7,135.8",,,,,,,
Belgium-Luxemburg,0.0,0.0,0.0,0.0,0.0,,,,,,,
Bolivia,0.0,0.0,0.0,0.0,0.0,,,,,,,
Bosnia and Herzegovina,759.3,774.8,653.2,582.1,600.0,,,,,,,
Brazil,"31,414.9","36,071.1","34,089.5","32,030.2","33,741.3",,,,,,,
Bulgaria,483.8,547.5,481.5,489.2,450.0,,,,,,,
Cameroon,0.0,0.0,0.0,0.0,0.0,,,,,,,
Canada,"10,986.0","12,976.3","12,097.6","12,168.1","12,349.1",,,,,,,
Chile,"1,157.3","1,317.5","1,151.0","1,161.8",824.2,,,,,,,
China,"1,064,766.8","1,035,242.6","1,017,959.0","1,022,472.0","1,005,090.0",,,,,,,
Colombia,"1,148.9","1,338.2","1,319.8","1,373.9","1,284.4",,,,,,,
Costa Rica,0.0,0.0,0.0,0.0,0.0,,,,,,,
Croatia,45.3,185.1,169.1,212.4,153.2,,,,,,,
Cuba,185.2,230.8,200.4,175.4,178.7,,,,,,,
Cyprus,0.0,0.0,0.0,0.0,0.0,,,,,,,
Czechia,"4,464.6","4,817.3","4,289.3","3,384.3","2,547.9",,,,,,,
D.P.R. Korea,707.0,598.0,289.0,347.0,350.0,,,,,,,
Denmark,0.0,0.0,0.0,0.0,0.0,,,,,,,
Dominican Republic,0.0,0.0,0.0,0.0,0.0,,,,,,,
Ecuador,482.2,611.6,536.3,484.2,492.6,,,,,,,
Egypt,"8,228.7","10,293.5","9,818.5","10,353.6","10,730.9",,,,,,,
El Salvador,81.6,102.8,88.9,83.6,85.1,,,,,,,
Estonia,0.0,0.0,0.0,0.0,0.0,,,,,,,
Ethiopia,0.0,0.0,0.0,0.0,0.0,,,,,,,
Finland,"3,499.0","4,339.0","3,538.2","3,810.5","3,663.8",,,,,,,
Former Yugoslavia,0.0,0.0,0.0,0.0,0.0,,,,,,,
France,"11,595.7","13,946.7","12,118.6","9,996.2","10,755.0",,,,,,,
Georgia,133.6,135.7,152.7,128.4,140.0,,,,,,,
Germany,"35,680.0","40,241.2","36,860.4","35,395.1","37,234.1",,,,,,,
Ghana,400.0,400.0,400.0,220.0,245.0,,,,,,,
Greece,"1,408.0","1,498.0","1,543.0","1,181.0","1,336.0",,,,,,,
Guatemala,242.6,306.9,271.1,241.3,249.5,,,,,,,
Honduras,0.0,0.0,0.0,0.0,0.0,,,,,,,
Hong Kong,0.0,0.0,0.0,0.0,0.0,,,,,,,
Hungary,"1,513.2","1,099.8",857.2,477.3,240.0,,,,,,,
Iceland,0.0,0.0,0.0,0.0,0.0,,,,,,,
India,"100,256.5","118,201.4","125,377.2","140,760.7","149,421.0",,,,,,,
Indonesia,"12,871.4","14,834.8","15,567.9","16,845.7","17,000.0",,,,,,,
Iran,"28,990.1","28,320.0","30,593.0","30,698.0","31,357.0",,,,,,,
Iraq,"1,980.0","2,750.0","3,300.0","2,755.0","3,020.0",,,,,,,
Ireland,0.0,0.0,0.0,0.0,0.0,,,,,,,
Israel,300.0,300.0,300.0,300.0,300.0,,,,,,,
Italy,"20,379.1","24,412.7","21,598.1","21,055.8","20,000.1",,,,,,,
Ivory Coast,0.0,0.0,0.0,0.0,0.0,,,,,,,
Jamaica,0.0,0.0,0.0,0.0,0.0,,,,,,,
Japan,"83,186.5","96,336.0","89,226.8","87,000.8","84,008.9",,,,,,,
Jordan,350.0,350.0,350.0,300.0,300.0,,,,,,,
Kazakhstan,"3,892.0","4,499.0","4,149.6","3,923.3","4,177.9",,,,,,,
Kenya,385.0,485.0,450.0,"1,365.0","1,585.0",,,,,,,
Kuwait,"1,300.0","1,300.0",900.0,"1,000.0","1,014.0",,,,,,,
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,,,,,,,
Latvia,0.0,0.0,0.0,0.0,0.0,,,,,,,
Lebanon,0.0,0.0,0.0,0.0,0.0,,,,,,,
Libya,494.9,651.7,687.8,902.2,871.9,,,,,,,
Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,,,
Luxembourg,"1,886.4","2,073.1","1,874.8","1,899.5","1,825.0",,,,,,,
Macedonia,179.9,315.4,248.0,295.9,305.0,,,,,,,
Malaysia,"6,618.5","6,739.1","7,206.6","7,529.8","8,800.0",,,,,,,
Malta,0.0,0.0,0.0,0.0,0.0,,,,,,,
Mexico,"16,802.6","18,453.6","18,386.3","16,422.5","13,784.1",,,,,,,
Moldova,465.0,570.0,560.0,500.0,400.0,,,,,,,
Montenegro,19.4,3.0,0.0,0.0,5.0,,,,,,,
Morocco,"1,000.0","1,050.0","1,550.0","1,397.0","1,415.0",,,,,,,
Myanmar,350.0,400.0,400.0,500.0,500.0,,,,,,,
Netherlands,"6,053.7","6,620.4","6,143.0","4,676.8","6,622.4",,,,,,,
New Zealand,585.7,645.7,569.9,554.5,566.0,,,,,,,
Nicaragua,0.0,0.0,0.0,0.0,0.0,,,,,,,
Nigeria,650.0,650.0,650.0,"1,190.0","1,200.0",,,,,,,
Norway,623.8,622.5,703.9,689.9,610.1,,,,,,,
Oman,"2,500.0","2,800.0","2,900.0","2,900.0","3,030.0",,,,,,,
Others,315.0,320.9,320.0,"1,412.7","1,696.0",,,,,,,
Pakistan,"3,803.0","5,437.7","6,013.0","5,337.0","4,127.0",,,,,,,
Panama,0.0,0.0,0.0,0.0,0.0,,,,,,,
Paraguay,23.3,26.5,23.6,21.2,21.9,,,,,,,
Peru,730.7,"1,234.1","1,765.2","1,558.9","1,602.6",,,,,,,
Philippines,892.3,"1,554.8","1,600.0","1,851.0","1,900.0",,,,,,,
Poland,"7,855.9","8,454.1","7,407.1","6,427.8","7,112.8",,,,,,,
Portugal,"2,202.8","1,953.0","1,854.9","2,039.7","1,948.3",,,,,,,
Qatar,"1,218.1","1,001.8","1,081.9","1,146.4","1,176.5",,,,,,,
Romania,"2,790.4","3,375.4","2,625.3","1,621.6","1,364.3",,,,,,,
Russia,"71,621.0","77,019.9","71,469.2","76,028.6","71,006.9",,,,,,,
Saudi Arabia,"7,775.0","8,735.0","9,860.2","9,940.4","9,605.7",,,,,,,
Senegal,0.0,0.0,0.0,0.0,0.0,,,,,,,
Serbia,"1,455.7","1,667.4","1,674.1","1,454.0","1,393.2",,,,,,,
Serbia-Montenegro,0.0,0.0,0.0,0.0,0.0,,,,,,,
Singapore,419.5,567.9,547.5,465.2,300.0,,,,,,,
Slovakia,"3,443.5","4,862.8","3,872.2","4,376.9","3,865.8",,,,,,,
Slovenia,585.2,661.9,601.3,526.1,594.6,,,,,,,
South Africa,"3,876.5","5,019.5","4,495.6","4,953.1","4,716.9",,,,,,,
South Korea,"67,078.8","70,418.0","65,846.2","66,683.3","63,476.5",,,,,,,
Spain,"10,998.4","14,204.9","11,573.1","11,445.4","11,872.5",,,,,,,
Sri Lanka,30.0,30.0,30.0,30.0,30.0,,,,,,,
Sudan,0.0,0.0,0.0,0.0,0.0,,,,,,,
Sweden,"4,408.7","4,678.3","4,404.2","4,258.4","4,024.8",,,,,,,
Switzerland,"1,175.0","1,291.1","1,205.9","1,200.0","1,200.0",,,,,,,
Syria,5.0,5.0,0.0,0.0,0.0,,,,,,,
"Taiwan, China","20,958.9","23,233.3","20,801.2","19,149.2","19,195.3",,,,,,,
Tajikistan,0.0,0.0,0.0,0.0,0.0,,,,,,,
Tanzania,120.0,145.0,140.0,695.0,795.0,,,,,,,
Thailand,"4,467.2","5,472.9","5,316.4","4,976.3","4,918.4",,,,,,,
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.0,,,,,,,
Tunisia,77.6,85.1,75.5,69.0,60.0,,,,,,,
Turkmenistan,0.0,0.0,0.0,0.0,0.0,,,,,,,
Türkiye,"35,810.3","40,360.0","35,133.8","33,713.7","36,893.4",,,,,,,
Ukraine,"20,616.4","21,365.6","6,263.2","6,227.7","7,575.2",,,,,,,
United Arab Emirates,"2,722.0","2,997.5","3,696.5","3,772.5","3,725.0",,,,,,,
United Kingdom,"7,085.7","7,221.6","5,962.8","5,616.5","3,987.5",,,,,,,
United States,"72,732.1","85,791.4","80,535.4","81,392.2","79,456.6",,,,,,,
Uruguay,49.1,62.8,54.9,48.3,50.2,,,,,,,
Uzbekistan,939.2,"1,050.0",950.0,"1,000.0","1,000.0",,,,,,,
Venezuela,29.2,29.4,27.1,27.4,28.8,,,,,,,
Viet Nam,"19,900.0","23,019.0","20,003.6","19,214.8","22,070.0",,,,,,,
World,"1,883,323.1","1,962,510.3","1,889,246.6","1,897,904.2","1,883,887.1",,,,,,,
Yemen,50.0,50.0,60.0,100.0,107.0,,,,,,,
,,,,,,,,,,,,
© 2025 World Steel Association,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.worldsteel.org/,,,,,,,,,,,,
Retrieved:,11/3/25 16:34,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,